,ours_mean,ours_sterr,bc_mean,bc_sterr,interventional,conditional
77,0.6002122,0.0020023866,0.6002982,0.0012074482,0.6002982,0.5999499999999999
78,0.6006775,0.0019690157,0.6003038,0.0012086546,0.6003038,0.5999499999999999
79,0.6001262,0.002005738,0.60030115,0.001207856,0.60030115,0.5999499999999999
80,0.6002351,0.002021167,0.6002992,0.0012072002,0.6002992,0.5999999999999999
81,0.60035354,0.0020518834,0.6003003,0.0012076305,0.6003003,0.5999999999999999
82,0.60022247,0.0020340192,0.6003085,0.0012090994,0.6003085,0.5999999999999999
83,0.60017,0.0020720195,0.6003083,0.0012100025,0.6003083,0.5999499999999999
84,0.6003648,0.0020667263,0.60030913,0.0012102713,0.60030913,0.5999499999999999
85,0.6003807,0.0020276152,0.6003029,0.0012095561,0.6003029,0.5999999999999999
86,0.600613,0.002090915,0.6003073,0.0012083531,0.6003073,0.5999499999999999
87,0.60055864,0.0020845556,0.6003077,0.00120752,0.6003077,0.5999499999999999
88,0.60054123,0.0021426973,0.6003028,0.0012073498,0.6003028,0.5999999999999999
89,0.6007003,0.0020953019,0.6003097,0.0012081203,0.6003097,0.5999499999999999
90,0.6005134,0.002038691,0.6003088,0.0012074976,0.6003088,0.5999499999999999
91,0.6006013,0.0019913798,0.60031056,0.001207851,0.60031056,0.5999499999999999
92,0.600629,0.0020028304,0.6003125,0.0012093757,0.6003125,0.5999499999999999
93,0.6005704,0.0020676905,0.60031664,0.0012086221,0.60031664,0.5999999999999999
94,0.60069525,0.002064145,0.6003157,0.001208682,0.6003157,0.5999999999999999
95,0.6009803,0.0020399839,0.6003121,0.001209405,0.6003121,0.5999999999999999
96,0.6010143,0.0020731343,0.6003137,0.0012092595,0.6003137,0.5999999999999999
97,0.6009494,0.0020512443,0.60031945,0.001210235,0.60031945,0.5999499999999999
98,0.60065544,0.0020210883,0.6003233,0.0012099701,0.6003233,0.5999999999999999
99,0.60093266,0.0019536777,0.60032284,0.0012090452,0.60032284,0.5999999999999999
